He_E,He_T,Kap_E,Kap_T,D_E,D1_T,D4_T,M_E,M320_T,M160_T,M80_T,M40_T
1,0.99999951,1.5,0.001570191945,0,0,0,1.00E+00,0.01376042426,0.1173048348,0.342497934,0.5852332304
1.5,0.999999865,1.725,0.01306279356,0.00001306279356,0,0.000000004235878891,1.05E+00,0.02272304306,0.1507416434,0.3882546116,0.6232587343
2,0.9999999447,1.95,0.04740977377,0.00004740977377,0,0.0000001361629509,1.10E+00,0.03532339056,0.1879451797,0.4335264463,0.6585941365
3,0.9999999838,2.175,0.108126811,0.000108126811,0,0,1.10E+00,0.02261274584,0.1503753499,0.3877826064,0.6228797681
4,0.9999999925,2.4,0.188237127,0.000188237127,0,0,1.50E+00,0.166722375,0.4083165133,0.6389964892,0.799575168
5,0.9999999954,2.625,0.2767775942,0.0002767775942,0,0,2.00E+00,0.4175249169,0.6461616801,0.8038418253,0.8967995089
6,0.9999999966,2.85,0.3648545166,0.0003648545166,0,0,3.00E+00,0.7381369485,0.8591489676,0.9269028901,0.9629482904
8,0.9999999976,3.075,0.4470526211,0.0004470526211,0,0,4.00E+00,0.8686418714,0.9320095876,0.9654064365,0.9827203222
10,0.999999998,3.3,0.5208064135,0.0005208064135,0,0,5.00E+00,0.9258886675,0.9622310884,0.9809337839,0.9905666039
15,0.9999999983,3.525,0.585403912,0.000585403912,0,0,6.00E+00,0.9542077433,0.9768355764,0.9883499261,0.9942838792
20,0.9999999984,3.75,0.641210304,0.000641210304,0,0,8.00E+00,0.9789172666,0.9894024796,0.9946871265,0.9974345596
30,0.9999999985,3.975,0.6890268915,0.0006890268915,0,0,8.98E+00,0.9845939503,0.9922670761,0.9961260342,0.9981446098
40,0.9999999986,4.2,0.7297776964,0.0007297776964,0,0,8.98E+00,0.8932882106,0.9451392546,0.972182727,0.9860732332
50,0.9999999986,4.425,0.7644350593,0.0007644350593,0,0,1.00E+01,0.9161415501,0.9571528353,0.9783418806,0.9891868655
60,0.9999999987,4.65,0.7939082306,0.0007939082306,0,0.00000001385949888,1.50E+01,0.9704202642,0.9850991139,0.9925215937,0.9962982168
80,0.9999999987,4.875,0.8190171795,0.0008190171795,0.000000003309490788,0.00005468224445,2.00E+01,0.9863881546,0.993170758,0.9965795292,0.9983191653
100,0.9999999988,5.1,0.8404654793,0.0008404654793,0.000007410419556,0.002634996303,3.00E+01,0.9955859478,0.997790533,0.9988946556,0.9994638921
,,5.325,0.8588449444,0.0008588449444,0.0004430756655,0.02058855377,4.00E+01,0.9980304822,0.9990147557,0.9995072565,0.9997643913
,,5.55,0.874651714,0.000874651714,0.005453097408,0.07268854298,5.00E+01,0.9989410332,0.9994703764,0.9997351531,0.9998750176
,,5.775,0.8882852023,0.0008882852023,0.02506456959,0.1564842364,6.00E+01,0.9993542737,0.9996770847,0.9998385293,0.999924735
,,6,0.9000960675,0.0009000960675,0.0632633251,0.2492903494,8.00E+01,0.9996906641,0.9998453201,0.999922657,0.9999646729
,,6.225,0.9103616163,0.0009103616163,0.1887987209,0.4320565485,1.00E+02,0.9998141032,0.9999070473,0.9999535226,0.9999790165
,,6.45,0.9193157838,0.0009193157838,0.4302734036,0.6539188943,,,,,
,,6.675,0.9271544806,0.0009271544806,0.5636611533,0.7491137034,,,,,
,,6.9,0.9340365846,0.0009340365846,0.6260605421,0.7898215856,,,,,
,,7.125,0.9401013654,0.0009401013654,0.6015227032,0.7588652907,,,,,
,,7.35,0.945461518,0.000945461518,0.6845113862,0.81301965,,,,,
,,7.575,0.9502135613,0.0009502135613,0.8258112851,0.8999968641,,,,,
,,7.8,0.9544385385,0.0009544385385,0.8964130311,0.9412370578,,,,,
,,8.025,0.9582058367,0.0009582058367,0.9344016043,0.9629185502,,,,,
,,8.25,0.9615764505,0.0009615764505,0.9559470065,0.9751261566,,,,,
,,8.475,0.9645978866,0.0009645978866,0.9774358631,0.9872493867,,,,,
,,8.7,0.9673129162,0.0009673129162,0.9868278293,0.9925572834,,,,,
,,8.925,0.9697586645,0.0009697586645,0.9909529267,0.9951847208,,,,,
,,9.15,0.9719663874,0.0009719663874,0.9878221442,0.9959628017,,,,,
,,9.375,0.9739640949,0.0009739640949,0.9679068749,0.9915733499,,,,,
,,9.6,0.9757748451,0.0009757748451,0.9239147865,0.9744078814,,,,,
,,9.825,0.9774205833,0.0009774205833,0.7788217684,0.8843634047,,,,,
,,10.05,0.9789186268,0.0009789186268,0.5364572709,0.6668827724,,,,,
,,10.275,0.9802861174,0.0009802861174,0.4085006587,0.5279401197,,,,,
,,10.5,0.9815356582,0.0009815356582,0.2733148808,0.3664062964,,,,,
,,10.725,0.9826791057,0.0009826791057,0.1475803866,0.204048448,,,,,
,,10.95,0.9837273861,0.0009837273861,0.08647097363,0.1212504224,,,,,
,,11.175,0.9846899195,0.0009846899195,0.05444069163,0.07688517296,,,,,
,,11.4,0.9855751955,0.0009855751955,0.03616179091,0.05127572673,,,,,
,,11.625,0.9863902859,0.0009863902859,0.01808821955,0.0257490218,,,,,
,,11.85,0.987142023,0.000987142023,0.01021560933,0.01456671471,,,,,
,,12.075,0.9878363029,0.0009878363029,0.006263588224,0.008938926963,,,,,
,,12.3,0.9884782412,0.0009884782412,0.004107135674,0.005864063605,,,,,
,,12.525,0.9890726992,0.0009890726992,0.002824001526,0.004033111928,,,,,
,,12.75,0.9896237044,0.0009896237044,0.002019149504,0.002884136905,,,,,
,,12.975,0.9901350066,,,,,,,,
,,13.2,0.9906102765,,,,,,,,
,,13.425,0.9910523179,,,,,,,,
,,13.65,0.9914639872,,,,,,,,
,,13.875,0.9918476534,,,,,,,,
,,14.1,0.9922057595,,,,,,,,
,,14.325,0.9925401755,,,,,,,,
,,14.55,0.9928529024,,,,,,,,
,,14.775,0.9931454069,,,,,,,,
,,15,0.9934194402,,,,,,,,